analysis	signature_acc	signature_desc	hit_rows	unique_proteins
ProSitePatterns	PS00741	Dbl homology (DH) domain signature.	4	4
ProSitePatterns	PS00778	Histidine acid phosphatases active site signature.	4	4
ProSitePatterns	PS00785	5'-nucleotidase signature 1.	4	4
ProSitePatterns	PS00868	Cys/Met metabolism enzymes pyridoxal-phosphate attachment site.	4	4
ProSitePatterns	PS00892	HIT domain signature.	4	4
ProSitePatterns	PS00905	GTP1/OBG family signature.	4	4
ProSitePatterns	PS00914	Syntaxin / epimorphin family signature.	4	4
ProSitePatterns	PS01073	Ribosomal protein L24e signature.	4	4
ProSitePatterns	PS01153	NOL1/NOP2/sun family signature.	4	4
ProSitePatterns	PS01244	Aconitase family signature 2.	4	4
ProSitePatterns	PS01245	RIO1/ZK632.3/MJ0444 family signature.	4	4
ProSiteProfiles	PS50007	Phosphatidylinositol-specific phospholipase X-box domain profile.	4	4
ProSiteProfiles	PS50032	Kinase associated domain 1 (KA1) profile.	4	4
ProSiteProfiles	PS50052	Guanylate kinase-like domain profile.	4	4
ProSiteProfiles	PS50075	Carrier protein (CP) domain profile.	4	4
ProSiteProfiles	PS50081	Zinc finger phorbol-ester/DAG-type profile.	4	4
ProSiteProfiles	PS50093	Polycystic kidney disease (PKD) domain profile.	4	4
ProSiteProfiles	PS50144	MATH/TRAF domain profile.	4	4
ProSiteProfiles	PS50156	Sterol-sensing domain (SSD) profile.	4	4
ProSiteProfiles	PS50160	ATP-dependent DNA ligase family profile.	4	4
ProSiteProfiles	PS50162	RecA family profile 1.	4	4
ProSiteProfiles	PS50171	Zinc finger matrin-type profile.	4	4
ProSiteProfiles	PS50178	Zinc finger FYVE/FYVE-related type profile.	4	4
ProSiteProfiles	PS50180	Gamma-adaptin ear (GAE) domain profile.	4	4
ProSiteProfiles	PS50196	Ran binding domain type 1 profile.	4	4
ProSiteProfiles	PS50214	Disintegrin domain profile.	4	4
ProSiteProfiles	PS50215	ADAM type metalloprotease domain profile.	4	4
ProSiteProfiles	PS50219	Citron homology (CNH) domain profile.	4	4
ProSiteProfiles	PS50262	G-protein coupled receptors family 1 profile.	4	4
ProSiteProfiles	PS50822	Piwi domain profile.	4	4
ProSiteProfiles	PS50832	S1 domain IF1 type profile.	4	4
ProSiteProfiles	PS50848	START domain profile.	4	4
ProSiteProfiles	PS50904	PRELI/MSF1 domain profile.	4	4
ProSiteProfiles	PS50934	SWIRM domain profile.	4	4
ProSiteProfiles	PS50991	Pyruvate carboxyltransferase domain.	4	4
ProSiteProfiles	PS50994	Integrase catalytic domain profile.	4	4
ProSiteProfiles	PS51011	ARID domain profile.	4	4
ProSiteProfiles	PS51021	BAR domain profile.	4	4
ProSiteProfiles	PS51133	Zinc finger TFIIS-type profile.	4	4
ProSiteProfiles	PS51189	FAT domain profile.	4	4
ProSiteProfiles	PS51221	TTL domain profile.	4	4
ProSiteProfiles	PS51229	DCUN1 domain profile.	4	4
ProSiteProfiles	PS51380	EXS domain profile.	4	4
ProSiteProfiles	PS51399	SEP domain profile.	4	4
ProSiteProfiles	PS51409	Arginase family profile.	4	4
ProSiteProfiles	PS51455	Phosphatidylinositol phosphate kinase (PIPK) domain profile.	4	4
ProSiteProfiles	PS51463	Glucose-6-phosphate isomerase family profile.	4	4
ProSiteProfiles	PS51553	GMP synthetase ATP pyrophosphatase (GMPS ATP-PPase) domain profile.	4	4
ProSiteProfiles	PS51569	Histone-lysine N-methyltransferase DOT1 (EC 2.1.1.43) domain profile.	4	4
ProSiteProfiles	PS51599	Phospholipid methyltransferases (EC 2.1.1.17 and EC=2.1.1.71) family profile.	4	4
ProSiteProfiles	PS51620	tRNA (adenine(57)-N(1)/adenine(58)-N(1) or adenine(58)-N(1)) (EC 2.1.1.219 or EC 2.1.1.220) family profile.	4	4
ProSiteProfiles	PS51650	C2 DOCK-type domain profile.	4	4
ProSiteProfiles	PS51651	DOCKER domain profile.	4	4
ProSiteProfiles	PS51704	GP-PDE domain profile.	4	4
ProSiteProfiles	PS51715	GB1/RHD3-type guanine nucleotide-binding (G) domain profile.	4	4
ProSiteProfiles	PS51721	Circularly permuted (CP)-type guanine nucleotide-binding (G) domain profile.	4	4
ProSiteProfiles	PS51726	MYST-type histone acetyltransferase (HAT) domain profile.	4	4
ProSiteProfiles	PS51733	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL) catalytic domain profile.	4	4
ProSiteProfiles	PS51741	F-BAR domain profile.	4	4
ProSiteProfiles	PS51762	Glycosyl hydrolases family 16 (GH16) domain profile.	4	4
ProSiteProfiles	PS51767	Peptidase family A1 domain profile.	4	4
ProSiteProfiles	PS51805	Extended PHD (ePHD) domain profile.	4	4
ProSiteProfiles	PS51823	Clueless (Clu) domain profile.	4	4
ProSiteProfiles	PS51826	Peripheral subunit-binding (PSBD) domain profile.	4	4
ProSiteProfiles	PS51855	MGS-like domain profile.	4	4
ProSiteProfiles	PS52040	Topoisomerase (Topo) IIA-type catalytic domain profile.	4	4
ProSiteProfiles	PS52048	Ubiquitin carboxyl-terminal hydrolase (UCH) catalytic domain profile.	4	4
SMART	SM00050	DISIN_2	4	4
SMART	SM00064	fyve_4	4	4
SMART	SM00089	PKD_9	4	4
SMART	SM00145	pi3k_hr2_4	4	4
SMART	SM00166	ubx_3	4	4
SMART	SM00194	PTPc_3	4	4
SMART	SM00279	HhH_4	4	4
SMART	SM00307	ILWEQ_1	4	4
SMART	SM00316	S1_6	4	4
SMART	SM00323	RasGAP_2	4	4
SMART	SM00330	PIPK_2	4	4
SMART	SM00428	h35	4	4
SMART	SM00435	topeu	4	4
SMART	SM00440	Cys4_2	4	4
SMART	SM00471	hd_13	4	4
SMART	SM00478	endo3end	4	4
SMART	SM00486	polmehr3	4	4
SMART	SM00491	Cxpdneu3	4	4
SMART	SM00500	pr04_2	4	4
SMART	SM00501	bright_3	4	4
SMART	SM00508	PostSET_3	4	4
SMART	SM00533	DNAend	4	4
SMART	SM00543	if4_15	4	4
SMART	SM00582	558neu5	4	4
SMART	SM00591	RWD2001b	4	4
SMART	SM00594	45neu3	4	4
SMART	SM00632	Aamy_c	4	4
SMART	SM00642	aamy	4	4
SMART	SM00652	eIF1neu4	4	4
SMART	SM00667	Lish	4	4
SMART	SM00721	5bar	4	4
SMART	SM00724	lag1_27	4	4
SMART	SM00731	sprt_6	4	4
SMART	SM00746	4TRASH	4	4
SMART	SM00775	lns2	4	4
SMART	SM00788	adenylsucc_synt	4	4
SMART	SM00809	alpha_adaptinc2	4	4
SMART	SM00851	MGS_2a	4	4
SMART	SM00859	Semialdhyde_dh_3	4	4
SMART	SM00891	ERCC4_2	4	4
SMART	SM00913	IBN_N_2	4	4
SMART	SM00946	ProRS_C_1_2	4	4
SMART	SM00947	Pro_CA_2	4	4
SMART	SM00962	SRP54_3	4	4
SMART	SM00973	Sec63_2	4	4
SMART	SM01003	AlaDh_PNT_N_2	4	4
SMART	SM01014	ARID_2	4	4
SMART	SM01027	Beta_Casp_2	4	4
SMART	SM01100	CRAL_TRIO_N_2	4	4
SMART	SM01140	Drf_GBD_2	4	4
SMART	SM01163	DUF1785_2	4	4
SMART	SM01252	KilA_N_2	4	4
SMART	SM01340	DNA_mis_repair_2	4	4
SUPERFAMILY	SSF100879	Lesion bypass DNA polymerase (Y-family), little finger domain	4	4
SUPERFAMILY	SSF100934	Heat shock protein 70kD (HSP70), C-terminal subdomain	4	4
SUPERFAMILY	SSF101353	Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS)	4	4
SUPERFAMILY	SSF102848	NSFL1 (p97 ATPase) cofactor p47, SEP domain	4	4
SUPERFAMILY	SSF102886	Coproporphyrinogen III oxidase	4	4
SUPERFAMILY	SSF110857	Gamma-glutamyl cyclotransferase-like	4	4
SUPERFAMILY	SSF117916	Fe-S cluster assembly (FSCA) domain-like	4	4
SUPERFAMILY	SSF140990	FtsH protease domain-like	4	4
SUPERFAMILY	SSF141678	MAL13P1.257-like	4	4
SUPERFAMILY	SSF143975	IlvD/EDD N-terminal domain-like	4	4
SUPERFAMILY	SSF144284	Sec2 N-terminal region	4	4
SUPERFAMILY	SSF158230	PRP4-like	4	4
SUPERFAMILY	SSF46561	Ribosomal protein L29 (L29p)	4	4
SUPERFAMILY	SSF46774	ARID-like	4	4
SUPERFAMILY	SSF47005	Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex	4	4
SUPERFAMILY	SSF47072	Cysteine alpha-hairpin motif	4	4
SUPERFAMILY	SSF47157	Mitochondrial import receptor subunit Tom20	4	4
SUPERFAMILY	SSF47364	Domain of the SRP/SRP receptor G-proteins	4	4
SUPERFAMILY	SSF48225	Seven-hairpin glycosidases	4	4
SUPERFAMILY	SSF48652	Tetraspanin	4	4
SUPERFAMILY	SSF49299	PKD domain	4	4
SUPERFAMILY	SSF49344	CBD9-like	4	4
SUPERFAMILY	SSF50199	Staphylococcal nuclease	4	4
SUPERFAMILY	SSF50715	Ribosomal protein L25-like	4	4
SUPERFAMILY	SSF51338	Composite domain of metallo-dependent hydrolases	4	4
SUPERFAMILY	SSF51703	Cobalamin (vitamin B12)-dependent enzymes	4	4
SUPERFAMILY	SSF51713	tRNA-guanine transglycosylase	4	4
SUPERFAMILY	SSF52156	Initiation factor IF2/eIF5b, domain 3	4	4
SUPERFAMILY	SSF52335	Methylglyoxal synthase-like	4	4
SUPERFAMILY	SSF54909	Dimeric alpha+beta barrel	4	4
SUPERFAMILY	SSF55129	Ribosomal protein L30p/L7e	4	4
SUPERFAMILY	SSF55174	Alpha-L RNA-binding motif	4	4
SUPERFAMILY	SSF55718	SCP-like	4	4
SUPERFAMILY	SSF56214	4'-phosphopantetheinyl transferase	4	4
SUPERFAMILY	SSF56322	ADC synthase	4	4
SUPERFAMILY	SSF56553	Insert subdomain of RNA polymerase alpha subunit	4	4
SUPERFAMILY	SSF57552	Blood coagulation inhibitor (disintegrin)	4	4
SUPERFAMILY	SSF64586	C-terminal domain of ProRS	4	4
SUPERFAMILY	SSF69322	Tricorn protease domain 2	4	4
SUPERFAMILY	SSF69645	Arp2/3 complex subunits	4	4
SUPERFAMILY	SSF81822	RuBisCo LSMT C-terminal, substrate-binding domain	4	4
SUPERFAMILY	SSF82109	MIR domain	4	4
SUPERFAMILY	SSF82919	Zn-finger domain of Sec23/24	4	4
SUPERFAMILY	SSF89009	GAT-like domain	4	4
SUPERFAMILY	SSF89095	GatB/YqeY motif	4	4
SUPERFAMILY	SSF89550	PHP domain-like	4	4
SMART	SM00710	pbh1	19	3
PRINTS	PR00097	Anthranilate synthase component II signature	18	3
PRINTS	PR00789	O-sialoglycoprotein endopeptidase (M22) metallo-protease family signature	18	3
PRINTS	PR00314	Clathrin coat assembly protein signature	17	3
PRINTS	PR01210	Gamma-glutamyltranspeptidase signature	16	3
PRINTS	PR00620	Histone H2A signature	15	3
PRINTS	PR00472	Casein kinase II regulatory subunit family signature	14	3
PRINTS	PR00110	Alpha-amylase signature	13	3
PRINTS	PR00621	Histone H2B signature	13	3
PRINTS	PR00980	Alanyl-tRNA synthetase signature	13	3
PRINTS	PR00986	Valyl-tRNA synthetase signature	13	3
PRINTS	PR01158	Topoisomerase II signature	13	3
PRINTS	PR00600	Protein phosphatase PP2A 55kDa regulatory subunit signature	12	3
PRINTS	PR00633	Chromosome condensation regulator RCC1 signature	12	3
PRINTS	PR00883	High mobility group-like nuclear protein signature	12	3
PRINTS	PR01243	Nucleoside diphosphate kinase signature	12	3
Pfam	PF07004	Sperm-tail PG-rich repeat	11	3
PRINTS	PR00079	Glucose-6-phosphate dehydrogenase signature	10	3
PRINTS	PR00477	Phosphoglycerate kinase family signature	10	3
PRINTS	PR00599	Methionine aminopeptidase-1 signature	10	3
PRINTS	PR00707	Ubiquitin C-terminal hydrolase (C12) family signature	10	3
PRINTS	PR00786	Neprilysin metalloprotease (M13) family signature	10	3
PRINTS	PR00981	Seryl-tRNA synthetase signature	10	3
PRINTS	PR00058	Ribosomal protein L5 signature	9	3
PRINTS	PR00459	Plant ascorbate peroxidase signature	9	3
PRINTS	PR00727	Bacterial leader peptidase 1 (S26A) family signature	9	3
PRINTS	PR00775	90kDa heat shock protein signature	9	3
PRINTS	PR00975	Ribosomal protein S19 family signature	9	3
PRINTS	PR00984	Isoleucyl-tRNA synthetase signature	9	3
PRINTS	PR01798	Succinyl-CoA synthase signature	9	3
SMART	SM00262	VILL_6	9	3
SMART	SM00707	rpel	9	3
PRINTS	PR00125	ATP synthase delta subunit signature	8	3
PRINTS	PR00219	Synaptobrevin signature	8	3
PRINTS	PR00419	Adrenodoxin reductase family signature	8	3
PRINTS	PR00685	Transcription initiation factor IIB signature	8	3
PRINTS	PR00932	Aminopeptidase I zinc metalloprotease (M18) signature	8	3
PRINTS	PR00988	Uridine kinase signature	8	3
PRINTS	PR00148	Enolase signature	7	3
PRINTS	PR00171	Sugar transporter signature	7	3
Pfam	PF01535	PPR repeat	7	3
PRINTS	PR00099	Carbamoyl-phosphate synthase protein GATase domain signature	6	3
PRINTS	PR00830	Endopeptidase La (Lon) serine protease (S16) signature	6	3
PRINTS	PR01415	Ankyrin repeat signature	6	3
PRINTS	PR01483	Fatty acid synthase signature	6	3
Pfam	PF12763	EH domain	6	3
SMART	SM00027	eh_3	6	3
Gene3D	G3DSA:1.20.1420.10	Talin, central domain	5	3
Gene3D	G3DSA:3.30.420.100		5	3
Gene3D	G3DSA:3.40.50.1260		5	3
Gene3D	G3DSA:6.10.140.2040		5	3
NCBIfam	NF012200	choice-of-anchor D domain	5	3
Pfam	PF00343	Carbohydrate phosphorylase	5	3
Pfam	PF01231	Indoleamine 2,3-dioxygenase	5	3
Pfam	PF02333	Phytase	5	3
Pfam	PF02687	FtsX-like permease C-terminal	5	3
Pfam	PF02705	K+ potassium transporter integral membrane domain	5	3
Pfam	PF02878	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I	5	3
Pfam	PF03348	Serine incorporator (Serinc)	5	3
Pfam	PF12070	Protein SCAI	5	3
Pfam	PF13646	HEAT repeats	5	3
Pfam	PF14703	Cytosolic domain of 10TM putative phosphate transporter	5	3
Pfam	PF24762	IF140/IFT172 TPR domain	5	3
ProSiteProfiles	PS50026	EGF-like domain profile.	5	3
ProSiteProfiles	PS50035	Phospholipase D phosphodiesterase active site profile.	5	3
ProSiteProfiles	PS51073	RPEL repeat profile.	5	3
SMART	SM00554	fasc_3	5	3
SUPERFAMILY	SSF140959	Indolic compounds 2,3-dioxygenase-like	5	3
SUPERFAMILY	SSF55945	TATA-box binding protein-like	5	3
CDD	cd09868	PIN_XPG_RAD2	4	3
FunFam	G3DSA:3.90.640.10:FF:000003	Molecular chaperone DnaK	4	3
Gene3D	G3DSA:1.20.120.790		4	3
Gene3D	G3DSA:2.60.120.680	GOLD domain	4	3
Gene3D	G3DSA:3.30.1130.10		4	3
Gene3D	G3DSA:3.30.300.10		4	3
Gene3D	G3DSA:3.40.1770.10	Urocanase superfamily	4	3
Gene3D	G3DSA:3.90.1570.40		4	3
Pfam	PF00162	Phosphoglycerate kinase	4	3
Pfam	PF01253	Translation initiation factor SUI1	4	3
Pfam	PF01351	Ribonuclease HII	4	3
Pfam	PF03055	Retinal pigment epithelial membrane protein	4	3
Pfam	PF03416	Peptidase C54 catalytic domain	4	3
Pfam	PF03901	Alg9-like mannosyltransferase family	4	3
Pfam	PF04100	Vps53, N-terminal	4	3
Pfam	PF05705	Eukaryotic protein of unknown function (DUF829)	4	3
Pfam	PF13001	Proteasome component ECM29, N-terminal	4	3
Pfam	PF16879	C-terminal domain of Sin3a protein	4	3
Pfam	PF24105	CAF1B/HIR1 beta-propeller domain	4	3
ProSiteProfiles	PS50137	Double stranded RNA-binding domain (dsRBD) profile.	4	3
SMART	SM00065	gaf_1	4	3
SMART	SM00568	gram2001c	4	3
SMART	SM00739	kow_9	4	3
SUPERFAMILY	SSF110942	HSP90 C-terminal domain	4	3
SUPERFAMILY	SSF143990	YbiA-like	4	3
SUPERFAMILY	SSF46946	S13-like H2TH domain	4	3
SUPERFAMILY	SSF46955	Putative DNA-binding domain	4	3
SUPERFAMILY	SSF52943	ATP synthase (F1-ATPase), gamma subunit	4	3
SUPERFAMILY	SSF53748	Phosphoglycerate kinase	4	3
SUPERFAMILY	SSF55035	NAD-binding domain of HMG-CoA reductase	4	3
SUPERFAMILY	SSF55159	eIF1-like	4	3
CDD	cd00052	EH	3	3
CDD	cd00071	GMPK	3	3
CDD	cd00074	HFD_H2A	3	3
CDD	cd00337	Ribosomal_uL14	3	3
CDD	cd00378	SHMT	3	3
CDD	cd00392	Ribosomal_L13	3	3
CDD	cd00537	MTHFR	3	3
CDD	cd00570	GST_N_family	3	3
CDD	cd00614	CGS_like	3	3
CDD	cd00814	MetRS_core	3	3
CDD	cd00883	beta_CA_cladeA	3	3
CDD	cd00948	FBP_aldolase_I_a	3	3
CDD	cd01093	CRIB_PAK_like	3	3
CDD	cd01283	cytidine_deaminase	3	3
CDD	cd01285	nucleoside_deaminase	3	3
CDD	cd01561	CBS_like	3	3
CDD	cd01767	UBX	3	3
CDD	cd01876	YihA_EngB	3	3
CDD	cd01885	EF2	3	3
CDD	cd01887	IF2_eIF5B	3	3
CDD	cd01900	YchF	3	3
CDD	cd02000	TPP_E1_PDC_ADC_BCADC	3	3
CDD	cd02037	Mrp_NBP35	3	3
CDD	cd02187	beta_tubulin	3	3
CDD	cd02247	cupin_pirin_C	3	3
CDD	cd02537	GT8_Glycogenin	3	3
CDD	cd02846	PAZ_argonaute_like	3	3
CDD	cd02947	TRX_family	3	3
CDD	cd03028	GRX_PICOT_like	3	3
CDD	cd03054	GST_N_Metaxin	3	3
CDD	cd03112	CobW-like	3	3
CDD	cd03426	NUDIX_CoAse_Nudt7	3	3
CDD	cd03784	GT1_Gtf-like	3	3
CDD	cd04150	Arf1_5_like	3	3
CDD	cd04657	Piwi_ago-like	3	3
CDD	cd04818	PA_subtilisin_1	3	3
CDD	cd04867	TGS_YchF_OLA1	3	3
CDD	cd05233	SDR_c	3	3
CDD	cd05833	Ribosomal_P2	3	3
CDD	cd06089	KOW_RPL26	3	3
CDD	cd06145	REX1_like	3	3
CDD	cd06455	M3A_TOP	3	3
CDD	cd07036	TPP_PYR_E1-PDHc-beta_like	3	3
CDD	cd07440	RGS	3	3
CDD	cd08041	OBF_kDNA_ligase_like	3	3
CDD	cd08290	ETR	3	3
CDD	cd08662	M13	3	3
CDD	cd09254	AP_delta-COPI_MHD	3	3
CDD	cd09596	M36	3	3
CDD	cd09631	DOMON_DOH	3	3
CDD	cd11054	CYP24A1-like	3	3
CDD	cd11883	SH3_Sdc25	3	3
CDD	cd12829	Alr1p-like	3	3
CDD	cd13969	ADCK1-like	3	3
CDD	cd13994	STKc_HAL4_like	3	3
CDD	cd14687	bZIP_ATF2	3	3
CDD	cd16023	GPI_EPT_3	3	3
CDD	cd16261	EF2_snRNP_III	3	3
CDD	cd16262	EFG_III	3	3
CDD	cd16454	RING-H2_PA-TM-RING	3	3
CDD	cd16630	RING-HC_RBR_RNF216	3	3
CDD	cd16922	HATPase_EvgS-ArcB-TorS-like	3	3
CDD	cd17330	MFS_SLC46_TetA_like	3	3
CDD	cd17917	DEXHc_RHA-like	3	3
CDD	cd17963	DEADc_DDX19_DDX25	3	3
CDD	cd18086	HsC9orf114-like	3	3
CDD	cd18176	ATP-synt_Vo_c_ATP6C_rpt2	3	3
CDD	cd18577	ABC_6TM_Pgp_ABCB1_D1_like	3	3
CDD	cd18597	ABC_6TM_YOR1_D1_like	3	3
CDD	cd18604	ABC_6TM_VMR1_D2_like	3	3
CDD	cd18659	CD2_tandem	3	3
CDD	cd18788	SF2_C_XPD	3	3
CDD	cd20335	BRcat_RBR	3	3
CDD	cd20546	CYCLIN_SpCG1C_ScCTK2-like_rpt2	3	3
CDD	cd20558	CYCLIN_ScPCL7-like	3	3
CDD	cd20824	C1_SpBZZ1-like	3	3
CDD	cd21044	Rab11BD_RAB3IP_like	3	3
CDD	cd22584	Rcat_RBR_unk	3	3
CDD	cd22910	HFD_H2B	3	3
FunFam	G3DSA:1.10.10.1410:FF:000002	60S acidic ribosomal protein P2	3	3
FunFam	G3DSA:1.10.1000.11:FF:000003	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	3	3
FunFam	G3DSA:1.10.12.10:FF:000001	Probable enoyl-CoA hydratase, mitochondrial	3	3
FunFam	G3DSA:1.10.20.10:FF:000008	Histone H2A	3	3
FunFam	G3DSA:1.10.238.10:FF:000001	Calmodulin 1	3	3
FunFam	G3DSA:1.10.560.10:FF:000017	T-complex protein 1 subunit eta	3	3
FunFam	G3DSA:1.20.1310.10:FF:000002	cullin-3 isoform X1	3	3
FunFam	G3DSA:1.20.140.10:FF:000002	Acyl-CoA dehydrogenase short/branched chain	3	3
FunFam	G3DSA:1.20.58.1120:FF:000005	Dynein, axonemal, heavy chain 12	3	3
FunFam	G3DSA:1.25.50.20:FF:000002	Aminopeptidase	3	3
FunFam	G3DSA:2.10.230.10:FF:000001	DnaJ subfamily A member 2	3	3
FunFam	G3DSA:2.40.160.120:FF:000001	Oxysterol-binding protein	3	3
FunFam	G3DSA:2.40.40.20:FF:000003	Transitional endoplasmic reticulum ATPase	3	3
FunFam	G3DSA:2.40.40.20:FF:000019	DNA-directed RNA polymerase II subunit RPB1	3	3
FunFam	G3DSA:2.40.50.100:FF:000003	Acetyl-CoA carboxylase biotin carboxyl carrier protein	3	3
FunFam	G3DSA:2.40.50.100:FF:000010	Acetyltransferase component of pyruvate dehydrogenase complex	3	3
FunFam	G3DSA:2.40.50.360:FF:000001	RuvB-like helicase	3	3
FunFam	G3DSA:2.60.260.20:FF:000003	DnaJ subfamily A member 2	3	3
FunFam	G3DSA:2.60.260.20:FF:000013	DnaJ subfamily B member 11	3	3
FunFam	G3DSA:2.60.40.1730:FF:000002	Aminopeptidase	3	3
FunFam	G3DSA:3.10.20.30:FF:000001	Ribosome-binding ATPase YchF	3	3
FunFam	G3DSA:3.10.260.10:FF:000001	APSES transcription factor (MbpA)	3	3
FunFam	G3DSA:3.10.490.20:FF:000009	Dynein heavy chain 4	3	3
FunFam	G3DSA:3.20.20.70:FF:000140	Fructose-bisphosphate aldolase	3	3
FunFam	G3DSA:3.30.110.30:FF:000001	Bifunctional glutamate/proline--tRNA ligase	3	3
FunFam	G3DSA:3.30.1330.20:FF:000014	Tubulin alpha chain	3	3
FunFam	G3DSA:3.30.1490.20:FF:000003	acetyl-CoA carboxylase isoform X1	3	3
FunFam	G3DSA:3.30.200.20:FF:000003	Non-specific serine/threonine protein kinase	3	3
FunFam	G3DSA:3.30.200.20:FF:000048	Non-specific serine/threonine protein kinase	3	3
FunFam	G3DSA:3.30.479.30:FF:000004	Putative membrane protease family, stomatin	3	3
FunFam	G3DSA:3.30.70.330:FF:000382	G-patch domain-containing protein	3	3
FunFam	G3DSA:3.30.830.10:FF:000015	Putative zinc metalloprotease	3	3
FunFam	G3DSA:3.40.140.10:FF:000008	Cytidine deaminase	3	3
FunFam	G3DSA:3.40.30.10:FF:000012	Monothiol glutaredoxin	3	3
FunFam	G3DSA:3.40.50.1000:FF:000014	Phospholipid-transporting ATPase	3	3
FunFam	G3DSA:3.40.50.1100:FF:000005	Threonine dehydratase catabolic	3	3
FunFam	G3DSA:3.40.50.20:FF:000001	Carbamoyl-phosphate synthase large chain	3	3
FunFam	G3DSA:3.40.50.20:FF:000010	Propionyl-CoA carboxylase subunit alpha	3	3
FunFam	G3DSA:3.40.50.300:FF:000106	Adenylate kinase mitochondrial	3	3
FunFam	G3DSA:3.40.50.300:FF:000129	Replication factor C subunit 5	3	3
FunFam	G3DSA:3.40.50.300:FF:000644	GpmB, Fructose-2,6-bisphosphatase	3	3
FunFam	G3DSA:3.40.50.300:FF:001025	ATPase family, AAA domain-containing 2B	3	3
FunFam	G3DSA:3.40.50.300:FF:002145	ABC transporter (MsbA subfamily)	3	3
FunFam	G3DSA:3.40.50.300:FF:003500	ADP-ribosylation factor 1	3	3
FunFam	G3DSA:3.40.50.620:FF:000020	Valine--tRNA ligase, mitochondrial	3	3
FunFam	G3DSA:3.40.50.800:FF:000005	bifunctional glutamate/proline--tRNA ligase	3	3
FunFam	G3DSA:3.90.1150.10:FF:000001	Aspartate aminotransferase	3	3
FunFam	G3DSA:3.90.550.10:FF:000092	Glycogenin 2	3	3
FunFam	G3DSA:3.90.810.10:FF:000005	Non-specific serine/threonine protein kinase	3	3
Gene3D	G3DSA:1.10.10.1700		3	3
Gene3D	G3DSA:1.10.10.250		3	3
Gene3D	G3DSA:1.10.10.410		3	3
Gene3D	G3DSA:1.10.10.520	Ubiquitin activating enzymes (Uba3). Chain: B, domain 2	3	3
Gene3D	G3DSA:1.10.1060.10		3	3
Gene3D	G3DSA:1.10.1200.10		3	3
Gene3D	G3DSA:1.10.1200.240		3	3
Gene3D	G3DSA:1.10.1370.40		3	3
Gene3D	G3DSA:1.10.150.190	Translation initiation factor 2; subunit 1; domain 2	3	3
Gene3D	G3DSA:1.10.150.300		3	3
Gene3D	G3DSA:1.10.1670.10		3	3
Gene3D	G3DSA:1.10.1820.10	protein kinase ck2 holoenzyme, chain C, domain 1	3	3
Gene3D	G3DSA:1.10.238.200	Cullin, PONY binding domain	3	3
Gene3D	G3DSA:1.10.246.130		3	3
Gene3D	G3DSA:1.10.246.90	Nop domain	3	3
Gene3D	G3DSA:1.10.260.170		3	3
Gene3D	G3DSA:1.10.274.100	RNA polymerase Rpb1, domain 3	3	3
Gene3D	G3DSA:1.10.275.20		3	3
Gene3D	G3DSA:1.10.287.10		3	3
Gene3D	G3DSA:1.10.287.1150	TPP helical domain	3	3
Gene3D	G3DSA:1.10.287.2720		3	3
Gene3D	G3DSA:1.10.287.40		3	3
Gene3D	G3DSA:1.10.287.940		3	3
Gene3D	G3DSA:1.10.3210.10	Hypothetical protein af1432	3	3
Gene3D	G3DSA:1.10.3450.40		3	3
Gene3D	G3DSA:1.10.357.40		3	3
Gene3D	G3DSA:1.10.40.30		3	3
Gene3D	G3DSA:1.10.455.10	Ribosomal protein S7 domain	3	3
Gene3D	G3DSA:1.10.510.40		3	3
Gene3D	G3DSA:1.10.645.10		3	3
Gene3D	G3DSA:1.10.8.750	Phosphoribosylformylglycinamidine synthase, linker domain	3	3
Gene3D	G3DSA:1.10.950.10	Villin headpiece domain	3	3
Gene3D	G3DSA:1.20.1060.20		3	3
Gene3D	G3DSA:1.20.120.1190		3	3
Gene3D	G3DSA:1.20.120.1560		3	3
Gene3D	G3DSA:1.20.120.560	alix/aip1 in complex with the ypdl late domain	3	3
Gene3D	G3DSA:1.20.1200.10		3	3
Gene3D	G3DSA:1.20.1250.40		3	3
Gene3D	G3DSA:1.20.140.20		3	3
Gene3D	G3DSA:1.20.5.420	Immunoglobulin FC, subunit C	3	3
Gene3D	G3DSA:1.20.5.4820		3	3
Gene3D	G3DSA:1.20.58.1030		3	3
Gene3D	G3DSA:1.20.58.1100		3	3
Gene3D	G3DSA:1.20.58.670	Dsl1p vesicle tethering complex, Tip20p subunit, domain D	3	3
Gene3D	G3DSA:1.20.58.90		3	3
Gene3D	G3DSA:1.20.940.10	Functional domain of the splicing factor Prp18	3	3
Gene3D	G3DSA:1.20.960.10	Mitochondrial outer membrane translocase complex, subunit Tom20 domain	3	3
Gene3D	G3DSA:1.20.960.30		3	3
Gene3D	G3DSA:1.25.40.1010		3	3
Gene3D	G3DSA:2.170.220.10		3	3
Gene3D	G3DSA:2.170.260.40		3	3
Gene3D	G3DSA:2.20.25.30		3	3
Gene3D	G3DSA:2.30.140.10	Spermidine synthase, tetramerisation domain	3	3
Gene3D	G3DSA:2.30.18.10		3	3
Gene3D	G3DSA:2.30.29.150		3	3
